seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz,cpu_pct_process,x_rest
69017,17.05,,,31.054,,,,,26554226208.0,15984.0,0.01668345,1.0,12.5484,2.94,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031451.4166666667,915486.0,3991987.0,1037703.6095258172,3460944.0,1471716.0,915486.0,3991987.0,1367784.0,1032479.0,1027644.0,3058490.0,2832730.0,2505048.0,1041941.0,1671168.0,2.3,14.003999999999998
69018,15.75,,,31.054,,,,,26565844776.0,7896.0,0.03333671666666667,2.0,11.618568,2.94,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031451.4166666667,915486.0,3991987.0,1037703.6095258172,3460944.0,1471716.0,915486.0,3991987.0,1367784.0,1032479.0,1027644.0,3058490.0,2832730.0,2505048.0,1041941.0,1671168.0,2.7,15.303999999999998
69019,18.73,,,31.054,,,,,26579583468.0,13872.0,0.050013716666666666,3.0,13.738692,2.94,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756772.9166666667,1057682.0,3908481.0,943696.267716248,1664088.0,1574868.0,3546643.0,1394813.0,2260956.0,3908481.0,1133497.0,1057682.0,1176270.0,1120508.0,1141840.0,1101629.0,3.2,12.323999999999998
69020,18.13,,,31.054,,,,,26592831444.0,28641.0,0.06667066666666667,4.0,13.247976,2.94,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756772.9166666667,1057682.0,3908481.0,943696.267716248,1664088.0,1574868.0,3546643.0,1394813.0,2260956.0,3908481.0,1133497.0,1057682.0,1176270.0,1120508.0,1141840.0,1101629.0,3.5,12.924
69021,21.28,,,31.054,,,,,26608520136.0,14556.0,0.08334480000000001,5.0,15.688692,2.94,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145104.0,956177.0,3763320.0,938487.8217048602,1522871.0,1593811.0,3763320.0,2478093.0,1495382.0,956177.0,3350113.0,2471322.0,1071657.0,1090446.0,3214379.0,2733677.0,3.5,9.773999999999997
69022,17.33,,,31.054,122.69,0.27857,0.9086,0.0,26621300892.0,8532.0,0.10000105,6.0,12.780756,2.94,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145104.0,956177.0,3763320.0,938487.8217048602,1522871.0,1593811.0,3763320.0,2478093.0,1495382.0,956177.0,3350113.0,2471322.0,1071657.0,1090446.0,3214379.0,2733677.0,3.7,13.724
69023,17.2,,,35.43164705882353,122.41,0.33778,0.931,0.0,26633899176.0,10956.0,0.11667515,7.0,12.598284,2.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350996.25,952006.0,4041018.0,1227465.8413082978,1411266.0,3027857.0,1700703.0,1212460.0,1747061.0,3790991.0,1018072.0,952006.0,1414396.0,4041018.0,4028284.0,3867841.0,3.8,18.23164705882353
69024,18.72,,,33.46929058163928,122.45,0.2825,0.8934,0.0,26647669704.0,9828.0,0.1333383333333333,8.0,13.770528,2.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350996.25,952006.0,4041018.0,1227465.8413082978,1411266.0,3027857.0,1700703.0,1212460.0,1747061.0,3790991.0,1018072.0,952006.0,1414396.0,4041018.0,4028284.0,3867841.0,3.8,14.74929058163928
69025,21.13,,,35.73426920882087,122.36,0.35843,0.9543,0.0,26663135556.0,32820.0,0.15000275000000002,9.0,15.465852,2.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432588.1666666665,982275.0,4001662.0,1190084.9200262865,982275.0,1016059.0,3795746.0,4001662.0,3908427.0,1569059.0,1800911.0,3689147.0,1024401.0,1555656.0,2460695.0,3387020.0,3.9,14.60426920882087
69026,19.35,,,35.47693262092389,122.47,0.26903,0.9271,0.0,26677366260.0,36816.0,0.16667138333333334,10.0,14.230704,2.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432588.1666666665,982275.0,4001662.0,1190084.9200262865,982275.0,1016059.0,3795746.0,4001662.0,3908427.0,1569059.0,1800911.0,3689147.0,1024401.0,1555656.0,2460695.0,3387020.0,3.8,16.12693262092389
