timestamp,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz,cpu_pct_process,cpu_time_process,x_rest
2023-04-17 20:23:19.001006,21.21,,,38.956,,,,,18362463516,19656,0.01668475,1,15.599124,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,00:00:00,17.746000000000002
2023-04-17 20:23:20.002092,20.09,,,38.956,,,,,18362463516,19656,0.01668475,1,15.599124,0.11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1669048.1666666667,840286.0,3152126.0,810594.48429767,942849.0,927767.0,1019756.0,1950405.0,2797092.0,1764671.0,3152126.0,2877140.0,1493123.0,1320363.0,943000.0,840286.0,2.6,00:00:00,18.866000000000003
2023-04-17 20:23:21.002803,21.83,,,38.956,,,,,18377204904,33540,0.0333389,2,14.741388,0.11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1669048.1666666667,840286.0,3152126.0,810594.48429767,942849.0,927767.0,1019756.0,1950405.0,2797092.0,1764671.0,3152126.0,2877140.0,1493123.0,1320363.0,943000.0,840286.0,3.2,00:00:00,17.126000000000005
2023-04-17 20:23:22.003893,21.05,,,38.956,,,,,18393247812,24138,0.05000413333333333,3,16.042908,0.18,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201290.9166666665,883719.0,4041777.0,1225098.0379899847,1436745.0,3360608.0,4041777.0,3944385.0,883719.0,999012.0,1790314.0,2307448.0,984495.0,1340772.0,1312776.0,4013440.0,3.4,00:00:00,17.906000000000002
2023-04-17 20:23:23.004994,22.87,,,38.956,,,,,18408765708,17832,0.06666836666666667,4,15.517896,0.18,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201290.9166666665,883719.0,4041777.0,1225098.0379899847,1436745.0,3360608.0,4041777.0,3944385.0,883719.0,999012.0,1790314.0,2307448.0,984495.0,1340772.0,1312776.0,4013440.0,3.5,00:00:00,16.086000000000002
2023-04-17 20:23:24.006087,21.81,,,38.956,,,,,18425558856,11712,0.08333381666666666,5,16.793148,0.18,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2261157.083333333,828085.0,3804843.0,1182810.0663398623,973260.0,3668544.0,1507135.0,963372.0,2490750.0,3581390.0,3748538.0,3804843.0,1915371.0,2814681.0,828085.0,837916.0,3.7,00:00:00,17.146000000000004
2023-04-17 20:23:25.006796,20.28,,,38.956,122.03,0.33909,0.9415,0.0,18441563196,19392,0.10001543333333333,6,16.00434,0.18,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2261157.083333333,828085.0,3804843.0,1182810.0663398623,973260.0,3668544.0,1507135.0,963372.0,2490750.0,3581390.0,3748538.0,3804843.0,1915371.0,2814681.0,828085.0,837916.0,3.8,00:00:00,18.676000000000002
2023-04-17 20:23:26.007876,22.19,,,35.84541176470589,122.09,0.29692,0.9288,0.0,18456443148,19488,0.11666943333333334,7,14.879952,0.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2571158.083333333,874668.0,3963630.0,1260418.1572846803,1255831.0,1004646.0,1370994.0,1178098.0,3032374.0,3617482.0,2860125.0,3916935.0,874668.0,3963630.0,3849232.0,3929882.0,3.7,00:00:00,13.655411764705885
2023-04-17 20:23:27.008958,21.89,,,38.00607061815537,121.97,0.32313,0.9547,0.0,18472767768,18720,0.13335091666666665,8,16.32462,0.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2571158.083333333,874668.0,3963630.0,1260418.1572846803,1255831.0,1004646.0,1370994.0,1178098.0,3032374.0,3617482.0,2860125.0,3916935.0,874668.0,3963630.0,3849232.0,3929882.0,3.9,00:00:00,16.11607061815537
2023-04-17 20:23:28.010033,22.44,,,39.033629860709375,122.06,0.37311,0.9399,0.0,18488877888,11856,0.1500135,9,16.11012,0.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667470.1666666665,932831.0,3971495.0,1209015.3653650584,1605183.0,932831.0,1647338.0,3842641.0,3917918.0,3971495.0,3804554.0,2354418.0,1420213.0,1083238.0,3532225.0,3897588.0,3.9,00:00:00,16.593629860709374
2023-04-17 20:23:29.010805,21.0,,,38.951002833996746,122.07,0.32339,0.9406,0.0,18505344024,15408,0.16667045,10,16.466136,0.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667470.1666666665,932831.0,3971495.0,1209015.3653650584,1605183.0,932831.0,1647338.0,3842641.0,3917918.0,3971495.0,3804554.0,2354418.0,1420213.0,1083238.0,3532225.0,3897588.0,4.0,00:00:00,17.951002833996746
2023-04-17 20:23:30.011884,22.33,,,38.62438110517803,122.02,0.35887,0.8776,0.0,18520817422,6650,0.18334040000000001,11,15.473398,0.33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506677.0,1088128.0,3908646.0,1043258.822933456,3763660.0,1088128.0,1515495.0,1227138.0,1817987.0,3010092.0,3893623.0,2043866.0,1462571.0,3908646.0,3040959.0,3307959.0,3.9,00:00:00,16.294381105178033
2023-04-17 20:23:31.012972,17.1,,,38.13436321512718,122.03,0.31742,0.9552,0.0,18537157572,19488,0.20000175,12,16.34015,0.33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506677.0,1088128.0,3908646.0,1043258.822933456,3763660.0,1088128.0,1515495.0,1227138.0,1817987.0,3010092.0,3893623.0,2043866.0,1462571.0,3908646.0,3040959.0,3307959.0,3.9,00:00:00,21.03436321512718
