seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz,cpu_pct_process,x_rest
79207,12.94,,,31.598,,,,,64004128308.0,4980.0,0.016670983333333333,1.0,9.579168,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,18.658
79208,18.7,,,31.598,,,,,64004128308.0,4980.0,0.016670983333333333,1.0,9.579168,0.91,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337149.0,866741.0,2402616.0,440381.7225767512,1348010.0,866741.0,1358637.0,912757.0,2402616.0,1183562.0,1029397.0,1374079.0,2042249.0,1273225.0,925992.0,1328523.0,2.2,12.898
79209,19.88,,,31.598,,,,,64017780972.0,23484.0,0.0333462,2.0,13.652664,0.91,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337149.0,866741.0,2402616.0,440381.7225767512,1348010.0,866741.0,1358637.0,912757.0,2402616.0,1183562.0,1029397.0,1374079.0,2042249.0,1273225.0,925992.0,1328523.0,2.5,11.718
79210,20.33,,,31.598,,,,,64032425160.0,12252.0,0.05000336666666667,3.0,14.644188,0.84,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113533.083333333,844094.0,3947475.0,942684.3740319856,974894.0,844094.0,1858207.0,3037557.0,1120380.0,1559750.0,3947475.0,2531463.0,2090926.0,3494269.0,2104161.0,1799221.0,2.8,11.268
79211,17.5,,,31.598,122.9,0.27412,0.9379,0.0,64047361644.0,24828.0,0.06667415,4.0,14.936484,0.84,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113533.083333333,844094.0,3947475.0,942684.3740319856,974894.0,844094.0,1858207.0,3037557.0,1120380.0,1559750.0,3947475.0,2531463.0,2090926.0,3494269.0,2104161.0,1799221.0,3.1,14.097999999999999
79212,19.45,,,35.06388235294118,122.83,0.32835,0.9295,0.0,64060236960.0,19572.0,0.08333793333333334,5.0,12.875316,0.84,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296534.25,946919.0,3338292.0,923412.5711089388,1461385.0,3280376.0,3036427.0,1447543.0,3334681.0,1332034.0,1268956.0,946919.0,1961782.0,3030882.0,3119134.0,3338292.0,3.2,15.613882352941179
79213,13.87,,,36.04026930099246,122.8,0.34427,0.9602,0.0,64074536628.0,16164.0,0.10001495,6.0,14.299668,0.84,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296534.25,946919.0,3338292.0,923412.5711089388,1461385.0,3280376.0,3036427.0,1447543.0,3334681.0,1332034.0,1268956.0,946919.0,1961782.0,3030882.0,3119134.0,3338292.0,3.3,22.170269300992466
79214,16.82,,,32.114641181103586,122.91,0.26453,0.9035,0.0,64084714176.0,13692.0,0.11667921666666665,7.0,10.177548,0.84,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1801008.3333333333,912612.0,4063439.0,909024.2265668112,2673866.0,997393.0,2120333.0,2210676.0,1794517.0,4063439.0,912612.0,1084792.0,1139878.0,1188121.0,2416602.0,1009871.0,3.4,15.294641181103586
79215,17.99,,,31.96896040696003,122.88,0.31105,0.9258,0.0,64097167968.0,7008.0,0.13334801666666665,8.0,12.453792,0.84,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1801008.3333333333,912612.0,4063439.0,909024.2265668112,2673866.0,997393.0,2120333.0,2210676.0,1794517.0,4063439.0,912612.0,1084792.0,1139878.0,1188121.0,2416602.0,1009871.0,3.5,13.97896040696003
79216,15.82,,,30.641717793792093,122.9,0.27444,0.8966,0.0,64110255840.0,13824.0,0.15000616666666666,9.0,13.087872,0.85,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2454377.5,1206220.0,3995243.0,1101571.7961216827,1426676.0,2379253.0,1206220.0,1383261.0,3142113.0,3991107.0,1390287.0,3995243.0,1354386.0,1905361.0,3380552.0,3898071.0,3.6,14.821717793792093
