seconds,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
2592,21.18,10.66,132204699.0,159.0,270513687075.0,29501463.0,0.10106068333333333,6.0,49.340221,3.68,1.0,5.5,137.82
2593,20.15,9.08,128709851.0,147.0,270543188538.0,36680582.0,0.11773966666666666,7.0,29.501463,3.68,0.0,5.1,126.85
2594,29.14,21.24,2145742980.0,95.0,270579869120.0,41610604.0,0.1344176,8.0,36.680582,3.68,0.0,4.8,65.86
2595,23.98,16.42,1383716841.0,114.0,270621479724.0,31634275.0,0.15109633333333333,9.0,41.610604,3.47,1.0,4.6,90.02
2596,21.57,11.24,640690545.0,134.0,270653113999.0,30236429.0,0.1677756,10.0,31.634275,3.47,1.0,4.4,112.43
2597,20.65,10.43,194584678.0,114.0,270683350428.0,29009543.0,0.18445368333333334,11.0,30.236429,3.47,0.0,4.4,93.35
2598,19.89,8.14,140616713.0,112.0,270712359971.0,29367059.0,0.20113268333333334,12.0,29.009543,3.47,0.0,4.1,92.11
2599,19.99,9.13,138582993.0,111.0,270741727030.0,28916584.0,0.21781278333333332,13.0,29.367059,3.47,0.0,4.1,91.01
2600,19.86,7.91,128443605.0,97.0,270770643614.0,29350222.0,0.23449143333333333,14.0,28.916584,3.47,0.0,3.9,77.14
2601,20.02,8.66,130120308.0,95.0,270799993836.0,28756756.0,0.25117085,15.0,29.350222,3.27,0.0,3.8,74.98
2602,19.73,7.94,130199482.0,94.0,270828750592.0,29402002.0,0.26785095,16.0,28.756756,3.27,0.0,3.7,74.27
2603,19.9,7.98,130043355.0,91.0,270858152594.0,28676122.0,0.28452744999999996,17.0,29.402002,3.27,0.0,3.7,71.1
2604,19.67,7.69,128334087.0,93.0,270886828716.0,28894304.0,0.3012058833333333,18.0,28.676122,3.27,0.0,3.5,73.33
2605,19.69,7.81,128681681.0,90.0,270915723020.0,28699184.0,0.3178854166666667,19.0,28.894304,3.09,0.0,3.5,70.31
2606,19.63,7.37,128319854.0,91.0,270944422204.0,28615024.0,0.3345639166666666,20.0,28.699184,3.09,0.0,3.4,71.37
2607,19.65,7.62,127794059.0,102.0,270973037228.0,28987094.0,0.3512454333333333,21.0,28.615024,3.09,0.0,3.3,82.35
2608,19.78,7.81,129240162.0,107.0,271002024322.0,28853858.0,0.3679229666666667,22.0,28.987094,3.09,0.0,3.3,87.22
2609,19.6,8.09,136729976.0,106.0,271030878180.0,28577892.0,0.38459983333333336,23.0,28.853858,3.09,0.0,3.2,86.4
2610,19.63,8.03,129019975.0,99.0,271059456072.0,28695148.0,0.40128055,24.0,28.577892,3.09,0.0,3.1,79.37
2611,19.65,7.41,129522798.0,93.0,271088151220.0,28602260.0,0.4179591833333333,25.0,28.695148,2.92,0.0,3.1,73.35
2612,19.72,7.99,131614689.0,96.0,271116753480.0,29039634.0,0.43463653333333335,26.0,28.60226,2.92,0.0,3.1,76.28
2613,19.91,8.35,127834625.0,92.0,271145793114.0,29007558.0,0.45131426666666663,27.0,29.039634,2.92,0.0,3.0,72.09
2614,19.71,7.66,128989166.0,96.0,271174800672.0,28708059.0,0.4679915333333333,28.0,29.007558,2.92,0.0,3.0,76.28999999999999
2615,19.7,7.92,130564348.0,92.0,271203508731.0,29139714.0,0.4846711,29.0,28.708059,2.77,0.0,3.0,72.3
2616,19.83,8.52,129949003.0,96.0,271232648445.0,28733844.0,0.5013489,30.0,29.139714,2.77,0.0,2.9,76.17
2617,19.68,8.02,129396314.0,103.0,271261382289.0,28796112.0,0.5180278,31.0,28.733844,2.77,0.0,2.9,83.32
2618,19.84,8.21,128834042.0,102.0,271290178401.0,29076438.0,0.5347064166666667,32.0,28.796112,2.77,0.0,2.8,82.16
2619,19.75,7.85,136179823.0,96.0,271319254839.0,28749073.0,0.5513857333333333,33.0,29.076438,2.77,0.0,2.8,76.25
2620,19.74,8.21,129343764.0,96.0,271348003912.0,28931306.0,0.5680663333333332,34.0,28.749073,2.77,0.0,2.8,76.26
2621,19.56,7.67,126837057.0,97.0,271376935218.0,28660426.0,0.5847454,35.0,28.931306,2.62,0.0,2.8,77.44
2622,19.8,7.86,129832950.0,95.0,271405595644.0,28861017.0,0.6014238166666667,36.0,28.660426,2.62,0.0,2.8,75.2
2623,19.7,7.17,127149005.0,92.0,271434456661.0,28881303.0,0.61810255,37.0,28.861017,2.62,0.0,2.7,72.3
2624,19.88,8.04,128334726.0,92.0,271463337964.0,29169248.0,0.6347817833333332,38.0,28.881303,2.62,0.0,2.7,72.12
2625,19.74,7.88,129083893.0,90.0,271492507212.0,28821231.0,0.6514617833333334,39.0,29.169248,2.49,0.0,2.7,70.26
2626,19.71,7.43,127694183.0,100.0,271521328443.0,28756725.0,0.6681410999999999,40.0,28.821231,2.49,0.0,2.7,80.28999999999999
2627,19.62,7.35,127980577.0,105.0,271550085168.0,28846890.0,0.6848192666666667,41.0,28.756725,2.49,0.0,2.6,85.38
2628,19.93,8.27,130943152.0,105.0,271578932058.0,29210322.0,0.7014988833333333,42.0,28.84689,2.49,0.0,2.6,85.07
2629,19.88,7.88,137405769.0,102.0,271608142380.0,28853850.0,0.7181793833333334,43.0,29.210322,2.49,0.0,2.6,82.12
2630,19.95,8.41,129332457.0,96.0,271636996230.0,29092085.0,0.7348574833333333,44.0,28.85385,2.49,0.0,2.6,76.05
2631,19.48,7.5,126747861.0,94.0,271666088315.0,28622837.0,0.7515358833333334,45.0,29.092085,2.37,0.0,2.6,74.52
2632,19.91,8.58,130829938.0,101.0,271694711152.0,29123292.0,0.7682146666666667,46.0,28.622837,2.37,0.0,2.6,81.09
2633,19.63,7.87,128018918.0,92.0,271723834444.0,28670108.0,0.78489345,47.0,29.123292,2.37,0.0,2.5,72.37
2634,19.77,7.75,129756120.0,95.0,271752504552.0,28764195.0,0.8015710833333334,48.0,28.670108,2.37,0.0,2.5,75.23
2635,19.63,7.29,127109117.0,95.0,271781268747.0,28793961.0,0.8182498500000001,49.0,28.764195,2.26,0.0,2.5,75.37
2636,19.84,8.16,129587598.0,98.0,271810062708.0,29017692.0,0.8349291666666667,50.0,28.793961,2.26,0.0,2.5,78.16
2637,19.73,7.66,128399267.0,98.0,271839080400.0,28890822.0,0.8516084166666666,51.0,29.017692,2.26,0.0,2.5,78.27
2638,19.77,8.3,137916296.0,96.0,271867971222.0,28854207.0,0.8682887166666667,52.0,28.890822,2.26,0.0,2.5,76.23
2639,19.53,7.47,127167106.0,96.0,271896825429.0,28699033.0,0.8849678999999999,53.0,28.854207,2.26,0.0,2.5,76.47
2640,19.81,7.64,133543003.0,94.0,271925524462.0,28806185.0,0.9016462666666667,54.0,28.699033,2.26,0.0,2.5,74.19
2641,19.53,7.69,127461874.0,88.0,271954330647.0,28624761.0,0.9183227166666666,55.0,28.806185,2.16,0.0,2.4,68.47
2642,19.63,7.22,129150812.0,89.0,271982955408.0,28600178.0,0.9350027999999999,56.0,28.624761,2.16,0.0,2.4,69.37
2643,19.65,7.8,128126181.0,94.0,272011555586.0,28852813.0,0.9516812833333332,57.0,28.600178,2.16,0.0,2.4,74.35
2644,19.63,7.76,128904118.0,99.0,272040408399.0,28664289.0,0.9683618500000001,58.0,28.852813,2.16,0.0,2.4,79.37
2645,19.78,8.28,128751076.0,103.0,272069072688.0,28902894.0,0.9850413166666667,59.0,28.664289,2.07,0.0,2.4,83.22
2646,19.52,7.06,128227852.0,106.0,272097975582.0,28490468.0,1.0017218166666668,60.0,28.902894,2.07,0.0,2.4,86.48
2647,19.74,7.97,129533673.0,101.0,272126466050.0,28949970.0,1.0184004833333333,61.0,28.490468,2.07,0.0,2.4,81.26
2648,19.69,8.02,138570874.0,93.0,272155416020.0,28744159.0,1.0350818166666667,62.0,28.94997,2.07,0.0,2.4,73.31
2649,19.47,7.21,126787923.0,94.0,272184160179.0,28471669.0,1.0517607833333333,63.0,28.744159,2.07,0.0,2.4,74.53
2650,19.45,7.69,128214103.0,94.0,272212631848.0,28416780.0,1.0684417333333334,64.0,28.471669,2.07,0.0,2.4,74.55
