timestamp,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,igpm,voltage,current,power_factor,discard,load_avg_1minute,cpu_pct,cpu_pct_process
2023-08-06 19:51:49,4.757,0.792,3.611,0.702,9.862,14.095,,,,,2.86,,0
2023-08-06 19:51:50,4.757,0.792,3.617,0.703,9.866117647058822,14.095,,,,,2.86,,0
2023-08-06 19:51:51,4.757,2.377,4.22,0.904,10.958301369863012,14.095,,,,,2.86,,0
2023-08-06 19:51:52,4.757,0.792,3.611,0.702,10.525493880773784,14.095,121.25,0.14566,0.798,0.0,2.86,3.0,0
2023-08-06 19:51:53,4.757,0.792,3.611,0.702,10.286233168656015,14.793906435057245,121.25,0.15726,0.8312,0.0,2.86,3.0,0
2023-08-06 19:51:54,4.757,0.792,3.611,0.702,10.141993573985863,14.097344739464072,121.25,0.14774,0.8041,0.0,2.8225,,0
2023-08-06 19:51:55,4.757,0.792,3.617,0.702,10.052418619081417,14.156507561557541,121.31,0.13879,0.7618,0.0,2.785,,0
2023-08-06 19:51:56,4.757,0.792,3.623,0.703,9.995936979217289,13.916399415796239,121.25,0.1585,0.8042,0.0,2.7475,,0
2023-08-06 19:51:57,4.757,0.792,3.617,0.702,9.955941941414665,13.200728049330129,121.29,0.13605,0.7807,0.0,2.71,0.0,0
2023-08-06 19:51:58,4.757,0.792,3.611,0.702,9.926940129588562,14.075774247072243,121.28,0.16225,0.8166,0.0,2.71,0.0,0
2023-08-06 19:51:59,4.757,0.792,3.611,0.702,9.907065096364882,13.230907733999926,121.31,0.13705,0.7855,0.0,2.715,,0
2023-08-06 19:52:00,4.757,0.792,3.611,0.702,9.893355813331635,13.744436818490707,121.29,0.14454,0.8016,0.0,2.7199999999999998,,0
2023-08-06 19:52:01,4.757,0.792,3.617,0.703,9.885977582382626,12.26419495491661,121.33,0.21238,0.4905,0.0,2.725,,0
2023-08-06 19:52:03,4.757,0.792,3.617,0.703,9.880849528019963,13.205406369223153,121.26,0.23093,0.5762,0.0,2.73,0.0,0
2023-08-06 19:52:04,4.757,0.792,3.611,0.702,9.875167694761087,12.589143966631573,121.29,0.224,0.548,0.0,2.695,,0
2023-08-06 19:52:05,4.757,0.792,3.611,0.702,9.871204214526415,13.453591674006168,121.32,0.1432,0.7936,0.0,2.66,,0
2023-08-06 19:52:06,4.757,0.792,3.912,0.702,9.95894706681676,11.774365157375847,121.32,0.18907,0.522,0.0,2.625,,0
2023-08-06 19:52:07,4.757,0.792,3.912,0.702,10.020262794135864,13.09872957495875,121.29,0.25267,0.5999,0.0,2.59,0.0,0
2023-08-06 19:52:08,4.757,0.792,3.924,0.704,10.067337615991123,12.34712697085592,121.34,0.22561,0.5317,0.0,2.59,0.0,0
2023-08-06 19:52:09,4.757,0.792,3.918,0.703,10.098160925811237,12.921617365719333,121.31,0.23516,0.5869,0.0,2.5999999999999996,,0
2023-08-06 19:52:10,4.757,0.792,3.912,0.702,10.117623518818695,12.165199919503893,121.36,0.21631,0.528,0.0,2.61,,0
2023-08-06 19:52:11,4.757,0.792,3.912,0.702,10.131241787672506,12.354541320673206,121.32,0.22954,0.5478,0.0,2.62,,0
2023-08-06 19:52:13,4.757,0.792,3.918,0.703,10.142872434533109,12.851041262849629,121.35,0.13495,0.7786,0.0,2.63,2.0,0
2023-08-06 19:52:14,4.361,0.792,3.924,0.704,10.034289901797848,12.947461107210199,121.34,0.1376,0.7701,0.0,2.5975,,0
2023-08-06 19:52:15,4.757,0.792,3.912,0.702,10.07290811022524,11.57628351184116,121.35,0.16194,0.416,0.0,2.565,,0
2023-08-06 19:52:16,4.757,0.792,3.912,0.702,10.099938214603402,14.182648371193068,121.31,0.26448,0.6059,0.0,2.5324999999999998,,0
2023-08-06 19:52:17,4.757,0.792,3.812,0.601,10.058554030769896,14.840328373923452,121.31,0.24453,0.5771,0.0,2.5,2.0,0
2023-08-06 19:52:18,4.757,0.792,3.912,0.702,10.089889262917417,15.78225794257902,121.26,0.26819,0.6073,0.0,2.5,2.0,0
2023-08-06 19:52:19,4.757,0.792,3.918,0.703,10.113923257914179,15.50559183201322,121.3,0.22852,0.5755,0.0,2.46,,0
2023-08-06 19:52:21,4.757,0.792,3.617,0.703,10.040444624380001,13.988658858537818,121.26,0.24891,0.5998,0.0,2.42,,0
2023-08-06 19:52:22,4.757,0.792,3.611,0.702,9.986910392427612,11.952792441934928,121.29,0.19311,0.4419,0.0,2.38,0.0,0
2023-08-06 19:52:23,4.757,0.792,3.611,0.702,9.949436860831275,11.928318665308577,121.27,0.16761,0.4125,0.0,2.38,0.0,0
2023-08-06 19:52:24,4.757,0.792,3.611,0.702,9.92320559978818,14.93718301154059,121.18,0.14469,0.8021,0.0,2.3525,,0
2023-08-06 19:52:25,4.757,0.792,3.611,0.702,9.904843820483366,13.272894141070894,121.24,0.13132,0.7602,0.0,2.325,,0
2023-08-06 19:52:26,4.759,0.792,3.617,0.703,9.894690635876195,13.05314928327112,121.2,0.13291,0.7574,0.0,2.2975,,0
2023-08-06 19:52:27,4.757,0.792,3.617,0.703,9.886983424675886,13.100410642913399,121.19,0.1471,0.8031,0.0,2.27,0.0,0
2023-08-06 19:52:28,4.757,0.792,3.611,0.702,9.879488383360739,12.518050895363507,121.21,0.13009,0.7644,0.0,2.27,0.0,0
2023-08-06 19:52:29,4.757,0.792,3.511,0.702,9.844241822554965,14.632847819976778,121.16,0.16769,0.853,0.0,2.2425,,0
2023-08-06 19:52:30,4.757,0.792,3.511,0.702,9.819569253347696,12.988218861576424,121.21,0.1187,0.674,0.0,2.215,,0
2023-08-06 19:52:31,4.757,0.792,3.516,0.703,9.80409846749344,14.326719148664502,121.23,0.196,0.4531,0.0,2.1875,,0
2023-08-06 19:52:32,4.757,0.792,3.623,0.703,9.825368936725155,13.482731967594349,121.26,0.18847,0.4274,0.0,2.16,0.0,0
2023-08-06 19:52:33,4.757,0.792,3.611,0.702,9.836358259135986,14.5407962454194,121.19,0.19498,0.4817,0.0,2.16,0.0,0
2023-08-06 19:52:34,4.757,0.792,3.611,0.702,9.844050783075096,17.949685778525197,121.2,0.16846,0.754,0.0,2.13,,0
2023-08-06 19:52:35,4.757,0.792,3.511,0.702,9.819435544389709,16.0851224554239,121.18,0.16984,0.8521,0.0,2.1,,0
2023-08-06 19:52:37,4.757,0.792,3.611,0.702,9.832204882439203,13.929379312501501,121.22,0.14448,0.7841,0.0,2.07,0.0,0
2023-08-06 19:52:38,4.757,0.792,3.617,0.703,9.843243418534282,13.19939537293161,121.24,0.13419,0.7676,0.0,2.07,0.0,0
2023-08-06 19:52:39,4.757,0.792,3.617,0.703,9.850970393379148,12.037917929040878,121.2,0.22561,0.5158,0.0,2.05,,0
2023-08-06 19:52:40,4.757,0.792,3.511,0.702,9.82427927438575,14.014747374762715,121.22,0.16088,0.8273,0.0,2.03,,0
2023-08-06 19:52:41,4.757,0.792,3.511,0.702,9.805595491589994,14.132470344680527,121.2,0.16059,0.8319,0.0,2.01,,0
2023-08-06 19:52:42,4.757,0.792,3.611,0.702,9.82251684441732,14.457556229757792,121.19,0.15835,0.8291,0.0,1.99,0.0,0
2023-08-06 19:52:43,4.757,0.792,3.611,0.702,9.834361791241244,12.764485850764844,121.19,0.22656,0.4987,0.0,1.99,0.0,0
2023-08-06 19:52:44,4.757,0.792,3.623,0.703,9.846553253976309,12.201499352768638,121.19,0.18152,0.4172,0.0,1.97,,0
2023-08-06 19:52:45,4.757,0.792,3.617,0.702,9.852987277823106,13.726998494599751,121.21,0.13814,0.7367,0.0,1.95,,0
2023-08-06 19:52:46,4.757,0.792,3.611,0.702,9.855691094487849,13.334230938553398,121.19,0.13279,0.7672,0.0,1.93,,0
2023-08-06 19:52:47,4.757,0.792,3.611,0.702,9.857583766147215,12.409933048346671,121.24,0.22968,0.5408,0.0,1.91,0.0,0
2023-08-06 19:52:48,4.757,0.792,3.611,0.702,9.858908636305854,11.299605924908036,121.28,0.1635,0.4133,0.0,1.91,0.0,0
2023-08-06 19:52:49,4.757,0.792,3.617,0.703,9.861936045418581,14.636789782570421,121.22,0.20647,0.7265,0.0,2.0433333333333334,,0
2023-08-06 19:52:50,4.757,1.188,3.924,0.803,10.104955232044965,13.106771026795156,121.28,0.12898,0.7555,0.0,2.1766666666666667,,0
2023-08-06 19:52:52,4.757,0.792,3.711,0.702,10.06206866240035,13.730024551470397,121.21,0.14162,0.7959,0.0,2.31,2.0,0
2023-08-06 19:52:53,5.154,4.755,4.521,1.203,11.733348064529292,13.269197794808042,121.23,0.13178,0.7676,0.0,2.31,2.0,0
2023-08-06 19:52:54,5.154,3.566,4.421,1.203,12.516543645449019,13.42339119053341,121.21,0.18678,0.7333,0.0,2.345,,0
2023-08-06 19:52:55,5.154,3.566,4.32,1.103,13.004480551935774,13.81370262484707,121.21,0.14463,0.8039,0.0,2.38,,0
2023-08-06 19:52:56,5.154,4.359,4.528,1.207,13.677536386472323,13.552939700225782,121.18,0.13675,0.7755,0.0,2.415,,0
2023-08-06 19:52:57,5.154,5.548,4.73,1.306,14.595675470642618,13.286862422024209,121.19,0.1315,0.7575,0.0,2.45,19.0,0
2023-08-06 19:52:58,5.154,4.755,4.421,1.203,14.876872829473843,13.482158667528013,121.19,0.14157,0.7943,0.0,2.45,19.0,0
2023-08-06 19:52:59,5.154,3.963,4.521,1.203,14.866110980631046,13.358716496073475,121.2,0.13964,0.789,0.0,2.46,,0
2023-08-06 19:53:00,5.154,2.774,4.22,1.003,14.351577686420203,13.440262830707239,120.97,0.13975,0.7707,0.0,2.47,,0
